#           k/h    P           
    0.22141E-01    0.20731E+05
    0.22588E-01    0.20037E+05
    0.23044E-01    0.19351E+05
    0.23510E-01    0.18676E+05
    0.23985E-01    0.18011E+05
    0.24469E-01    0.17356E+05
    0.24964E-01    0.16712E+05
    0.25468E-01    0.16078E+05
    0.25982E-01    0.15454E+05
    0.26507E-01    0.14839E+05
    0.27043E-01    0.14234E+05
    0.27589E-01    0.13640E+05
    0.28146E-01    0.13060E+05
    0.28715E-01    0.12496E+05
    0.29295E-01    0.11950E+05
    0.29887E-01    0.11423E+05
    0.30490E-01    0.10917E+05
    0.31106E-01    0.10435E+05
    0.31735E-01    0.99782E+04
    0.32376E-01    0.95471E+04
    0.33030E-01    0.91426E+04
    0.33697E-01    0.87645E+04
    0.34378E-01    0.84123E+04
    0.35072E-01    0.80853E+04
    0.35781E-01    0.77830E+04
    0.36504E-01    0.75047E+04
    0.37241E-01    0.72506E+04
    0.37993E-01    0.70209E+04
    0.38761E-01    0.68156E+04
    0.39544E-01    0.66350E+04
    0.40343E-01    0.64785E+04
    0.41158E-01    0.63440E+04
    0.41989E-01    0.62295E+04
    0.42838E-01    0.61334E+04
    0.43703E-01    0.60539E+04
    0.44586E-01    0.59897E+04
    0.45486E-01    0.59390E+04
    0.46405E-01    0.59005E+04
    0.47343E-01    0.58728E+04
    0.48299E-01    0.58534E+04
    0.49275E-01    0.58392E+04
    0.50270E-01    0.58275E+04
    0.51286E-01    0.58154E+04
    0.52322E-01    0.57995E+04
    0.53379E-01    0.57768E+04
    0.54457E-01    0.57440E+04
    0.55557E-01    0.56981E+04
    0.56680E-01    0.56359E+04
    0.57825E-01    0.55547E+04
    0.58993E-01    0.54527E+04
    0.60184E-01    0.53292E+04
    0.61400E-01    0.51839E+04
    0.62641E-01    0.50168E+04
    0.63906E-01    0.48277E+04
    0.65197E-01    0.46177E+04
    0.66514E-01    0.43925E+04
    0.67858E-01    0.41607E+04
    0.69229E-01    0.39286E+04
    0.70627E-01    0.36936E+04
    0.72054E-01    0.34516E+04
    0.73510E-01    0.32050E+04
    0.74994E-01    0.29642E+04
    0.76509E-01    0.27377E+04
    0.78055E-01    0.25300E+04
    0.79632E-01    0.23435E+04
    0.81241E-01    0.21797E+04
    0.82882E-01    0.20398E+04
    0.84556E-01    0.19245E+04
    0.86264E-01    0.18334E+04
    0.88007E-01    0.17649E+04
    0.89785E-01    0.17176E+04
    0.91598E-01    0.16895E+04
    0.93449E-01    0.16778E+04
    0.95337E-01    0.16801E+04
    0.97263E-01    0.16921E+04
    0.99227E-01    0.17096E+04
    0.10123E+00    0.17282E+04
    0.10328E+00    0.17430E+04
    0.10536E+00    0.17493E+04
    0.10749E+00    0.17431E+04
    0.10966E+00    0.17207E+04
    0.11188E+00    0.16792E+04
    0.11414E+00    0.16179E+04
    0.11644E+00    0.15378E+04
    0.11880E+00    0.14425E+04
    0.12120E+00    0.13375E+04
    0.12365E+00    0.12292E+04
    0.12614E+00    0.11236E+04
    0.12869E+00    0.10257E+04
    0.13129E+00    0.93918E+03
    0.13394E+00    0.86683E+03
    0.13665E+00    0.81020E+03
    0.13941E+00    0.76998E+03
    0.14223E+00    0.74539E+03
    0.14510E+00    0.73453E+03
    0.14803E+00    0.73379E+03
    0.15102E+00    0.73892E+03
    0.15407E+00    0.74528E+03
    0.15718E+00    0.74857E+03
    0.16036E+00    0.74484E+03
    0.16360E+00    0.73091E+03
    0.16690E+00    0.70522E+03
    0.17028E+00    0.66862E+03
    0.17371E+00    0.62409E+03
    0.17722E+00    0.57580E+03
    0.18080E+00    0.52817E+03
    0.18446E+00    0.48540E+03
    0.18818E+00    0.45058E+03
    0.19198E+00    0.42520E+03
    0.19586E+00    0.40894E+03
    0.19982E+00    0.40009E+03
    0.20386E+00    0.39608E+03
    0.20797E+00    0.39390E+03
    0.21218E+00    0.39035E+03
    0.21646E+00    0.38250E+03
    0.22083E+00    0.36884E+03
    0.22530E+00    0.34988E+03
    0.22985E+00    0.32757E+03
    0.23449E+00    0.30452E+03
    0.23923E+00    0.28342E+03
    0.24406E+00    0.26624E+03
    0.24899E+00    0.25380E+03
    0.25402E+00    0.24550E+03
    0.25915E+00    0.23977E+03
    0.26439E+00    0.23472E+03
    0.26973E+00    0.22856E+03
    0.27518E+00    0.22015E+03
    0.28074E+00    0.20942E+03
    0.28641E+00    0.19736E+03
    0.29219E+00    0.18551E+03
    0.29810E+00    0.17516E+03
    0.30412E+00    0.16691E+03
    0.31026E+00    0.16056E+03
    0.31653E+00    0.15535E+03
    0.32292E+00    0.15022E+03
    0.32945E+00    0.14439E+03
    0.33610E+00    0.13770E+03
    0.34289E+00    0.13055E+03
    0.34982E+00    0.12366E+03
    0.35689E+00    0.11761E+03
    0.36409E+00    0.11249E+03
    0.37145E+00    0.10806E+03
    0.37895E+00    0.10381E+03
    0.38661E+00    0.99381E+02
    0.39442E+00    0.94722E+02
    0.40239E+00    0.90074E+02
    0.41052E+00    0.85735E+02
    0.41881E+00    0.81843E+02
    0.42727E+00    0.78316E+02
    0.43590E+00    0.74957E+02
