# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is omch2
# # model type = fiducial
1.516716888470922740e-04 6.142044784889792936e+03 1.471226094476620119e+03 7.061188813238308057e+02 4.272327060054996650e+02 2.909344148283698246e+02 2.129545334695229428e+02 1.636798575261790347e+02 1.303303595892032547e+02 1.065916276455698437e+02 8.902797862205460433e+01
1.588565129428052810e-04 6.416841738516110127e+03 1.537867499198872110e+03 7.381587250910492912e+02 4.466292194783444529e+02 3.041463990757424654e+02 2.226266219933965260e+02 1.711146009592748385e+02 1.362505977906140515e+02 1.114337196908129783e+02 9.307233892536709163e+01
1.663816886076128847e-04 6.703524941930022578e+03 1.607507461849538231e+03 7.716480995496523292e+02 4.669049223256877212e+02 3.179577324015709223e+02 2.327376811132958210e+02 1.788868740433877349e+02 1.424396482002613027e+02 1.164957145972521317e+02 9.730038324250722326e+01
1.742633386009649968e-04 7.002552212753824278e+03 1.680278026292754475e+03 8.066520172799446300e+02 4.880994826048965365e+02 3.323955007228688032e+02 2.433075940541399689e+02 1.870119610582486871e+02 1.489097174026040022e+02 1.217875841698561175e+02 1.017204388400386819e+02
1.825183494319043405e-04 7.314392796266814003e+03 1.756316726019984117e+03 8.432384584899342599e+02 5.102542917649471406e+02 3.474880253845924472e+02 2.543571283503478355e+02 1.955058338025280307e+02 1.556735401970819623e+02 1.273197375168185062e+02 1.063412112786984665e+02
1.911644075385702070e-04 7.639524213219765443e+03 1.835766809748221476e+03 8.814782193251531908e+02 5.334125284276390175e+02 3.632649132595348078e+02 2.659079816671471690e+02 2.043852046780073408e+02 1.627444106249771210e+02 1.331030664783325506e+02 1.111718080398618156e+02
2.002200371815584276e-04 7.978433851995297118e+03 1.918777112259770092e+03 9.214449407482625247e+02 5.576193164536715585e+02 3.797570638773883047e+02 2.779828148788485009e+02 2.136675504198833551e+02 1.701362411868247193e+02 1.391489663038476010e+02 1.162217497059139504e+02
2.097046401323232167e-04 8.331615708950626868e+03 2.005502295702464835e+03 9.632154995369262451e+02 5.829218384169269029e+02 3.969967200667195470e+02 2.906053065027566618e+02 2.233711104180254949e+02 1.778635914263103359e+02 1.454693438142945752e+02 1.215009841991380313e+02
2.196385372416545924e-04 8.699571168503602166e+03 2.096103208368236210e+03 1.006870219891285274e+03 6.093693434655605188e+02 4.150175635134414165e+02 3.038002184301909665e+02 2.335149248215383579e+02 1.859416634640242023e+02 1.520766387383047231e+02 1.270199084195250521e+02
2.300430119772917776e-04 9.082806643405951036e+03 2.190747066937421096e+03 1.052492867327078784e+03 6.370131651204325181e+02 4.338547809287836685e+02 3.175934300966914634e+02 2.441189023769228186e+02 1.943863221034223443e+02 1.589838489794574343e+02 1.327893882749662566e+02
2.409403560239524868e-04 9.481832790413751354e+03 2.289607474567661484e+03 1.100170653175158577e+03 6.659068776174069626e+02 4.535451334316252883e+02 3.320119433152516422e+02 2.552038625789194555e+02 2.032141511030808942e+02 1.662045531081691081e+02 1.388207801363858778e+02
2.523539170434766117e-04 9.897162014627321696e+03 2.392864308144321967e+03 1.149994472971777668e+03 6.961063831505626922e+02 4.741270334878292942e+02 3.470839457420003100e+02 2.667915536294706840e+02 2.124424944456196158e+02 1.737529441227123073e+02 1.451259503012861671e+02
2.643081486974104954e-04 1.032930526037712480e+04 2.500704210082973532e+03 1.202058973944868967e+03 7.276700217207493324e+02 4.956405776695305008e+02 3.628389057961912272e+02 2.789046861061162872e+02 2.220894763308454003e+02 1.816438621719985349e+02 1.517172987015899253e+02
2.768286630392065599e-04 1.077877285120020861e+04 2.613320434376239064e+03 1.256462759623337433e+03 7.606586373549010887e+02 5.181275375414146538e+02 3.793076273060597146e+02 2.915669822836326830e+02 2.321740281037695581e+02 1.898928161953055564e+02 1.586077864086326201e+02
2.899422853882876647e-04 1.124606969770127034e+04 2.730913334646624662e+03 1.313308407175713455e+03 7.951357018239177705e+02 5.416315144951729508e+02 3.965222389082978225e+02 3.048032134842968617e+02 2.427159280282611462e+02 1.985160071981156023e+02 1.658109609915114504e+02
3.036771118035457777e-04 1.173169648200692973e+04 2.853690127064493481e+03 1.372702695603296888e+03 8.311673825385889813e+02 5.661980969049028545e+02 4.145162318081918897e+02 3.186392557874452791e+02 2.537358303819922867e+02 2.075303616362054981e+02 1.733409749432949809e+02
