# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is tau
# # model type = fiducial
1.825183494319043405e-04 8.156293183864711409e+02 8.156288159049287287e+02 8.156288079867870238e+02 8.156287918665789221e+02 8.156288112124727832e+02 8.156287920937176068e+02 8.156289348876269969e+02 8.156291075640057215e+02 8.156294686375767924e+02 8.156298484007783145e+02
1.911644075385702070e-04 8.526195748330500237e+02 8.526190776267258116e+02 8.526189646559488438e+02 8.526188562640842292e+02 8.526189698185141879e+02 8.526189317373242602e+02 8.526191021173195850e+02 8.526193824278343527e+02 8.526197423305541179e+02 8.526201209136969510e+02
2.002200371815584276e-04 8.912808282187291979e+02 8.912802527752899096e+02 8.912799989497717661e+02 8.912798386300187303e+02 8.912799984213017979e+02 8.912800049459057163e+02 8.912802562741845804e+02 8.912805747794033095e+02 8.912809848616489035e+02 8.912812968024269367e+02
2.097046401323232167e-04 9.316875902006210026e+02 9.316868289970735759e+02 9.316864798144810038e+02 9.316863816610732556e+02 9.316864773952635232e+02 9.316865567631546128e+02 9.316869170013878829e+02 9.316871590566364603e+02 9.316876838909886374e+02 9.316879137947489653e+02
2.196385372416545924e-04 9.739175445225450858e+02 9.739165800378438007e+02 9.739161426394323371e+02 9.739161404003921234e+02 9.739161425198392408e+02 9.739163155670330525e+02 9.739167551513103263e+02 9.739169314533971828e+02 9.739175474426336905e+02 9.739177244488423639e+02
2.300430119772917776e-04 1.018051712910689957e+03 1.018050626426209647e+03 1.018050061723950535e+03 1.018050089721181735e+03 1.018050065244987991e+03 1.018050337632030505e+03 1.018050775391729985e+03 1.018051034963464645e+03 1.018051627452175808e+03 1.018051828319634183e+03
2.409403560239524868e-04 1.064174539274989229e+03 1.064173386542107210e+03 1.064172716315342086e+03 1.064172721736387302e+03 1.064172717863902108e+03 1.064173018553194879e+03 1.064173412718086865e+03 1.064173862093775824e+03 1.064174362545274789e+03 1.064174709580810713e+03
2.523539170434766117e-04 1.112374069520807097e+03 1.112372841155625110e+03 1.112372163684562793e+03 1.112372143776689882e+03 1.112372152690918256e+03 1.112372332252646856e+03 1.112372708986640646e+03 1.112373349054638993e+03 1.112373784734899118e+03 1.112374423748196250e+03
2.643081486974104954e-04 1.162742061414261798e+03 1.162740719858373268e+03 1.162740018539445828e+03 1.162740005320432147e+03 1.162740008889184082e+03 1.162740031096229586e+03 1.162740438355586093e+03 1.162741182941039142e+03 1.162741665548342553e+03 1.162742582742741433e+03
2.768286630392065599e-04 1.215374140352101904e+03 1.215372635593900213e+03 1.215371697531064910e+03 1.215371742641150149e+03 1.215371734733994344e+03 1.215371763949819524e+03 1.215372246593877890e+03 1.215372939960137501e+03 1.215373649272306011e+03 1.215374594455770875e+03
2.899422853882876647e-04 1.270369728363456716e+03 1.270367988878730557e+03 1.270366696193958433e+03 1.270366754544196283e+03 1.270366745841189186e+03 1.270366920959661684e+03 1.270367485635328421e+03 1.270368074375880269e+03 1.270369061842519386e+03 1.270369888372119931e+03
