# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is om
# # model type = fiducial
3.180625692794118915e-04 3.978287024810793355e+03 1.829045653251561134e+03 1.086427766949113220e+03 7.324647492224193002e+02 5.328579149497743401e+02 4.078986269541919114e+02 3.238686941982971348e+02 2.643343348735301106e+02 2.204412688724219720e+02 1.870473854955578759e+02
3.331294787934673180e-04 4.155944841276043007e+03 1.911547886753995499e+03 1.135590280588641235e+03 7.656577152342429144e+02 5.570240112593800177e+02 4.264062192647213010e+02 3.385680823394179129e+02 2.763341460043690745e+02 2.304499941909110987e+02 1.955408772894555511e+02
3.489101213406771624e-04 4.341255538823582356e+03 1.997715453170656019e+03 1.186958473672816581e+03 8.003465654410973684e+02 5.822818436578656929e+02 4.457511635700706734e+02 3.539331530778125625e+02 2.888777309277459722e+02 2.409124727567075865e+02 2.044195553899015181e+02
3.654383070957255785e-04 4.534513305404889252e+03 2.087703555779237377e+03 1.240628758722576777e+03 8.365975123731102485e+02 6.086801479104224200e+02 4.659709621595176827e+02 3.699937932144086403e+02 3.019895845678091746e+02 2.518491924078529394e+02 2.137008236640074301e+02
3.827494478516312048e-04 4.736020019263826725e+03 2.181672595219255072e+03 1.296701382722350900e+03 8.744795954744489563e+02 6.362696777800268819e+02 4.871047314935684653e+02 3.867812429981883042e+02 3.156952891947455555e+02 2.632815408446680863e+02 2.234028857595323529e+02
4.008806328898464845e-04 4.946083988883618076e+03 2.279789129981997121e+03 1.355280433310600529e+03 9.140647935470207130e+02 6.651033764462578119e+02 5.091933729728650064e+02 4.043281504933411270e+02 3.300215592025624005e+02 2.752318505737956684e+02 2.335447532619757283e+02
4.198707084443908553e-04 5.165019810131944723e+03 2.382226135500386590e+03 1.416474177755353821e+03 9.554280359027598024e+02 6.952365463184461305e+02 5.322796260352844229e+02 4.226685819392450298e+02 3.449962903542115100e+02 2.877234470697484312e+02 2.441462375080581637e+02
4.397603609302718668e-04 5.393148276496525796e+03 2.489162332501182846e+03 1.480395178566868481e+03 9.986472519560677483e+02 7.267268838087724134e+02 5.564079747772274231e+02 4.418380749478330927e+02 3.606486145236089556e+02 3.007806921588151567e+02 2.552280237882327754e+02
4.605922041145105693e-04 5.630795639182360901e+03 2.600781620190521153e+03 1.547160414226034163e+03 1.043803594843945120e+03 7.596343548393045921e+02 5.816247133267739855e+02 4.618736996198438192e+02 3.770089523405021055e+02 3.144290183809291648e+02 2.668117452089462631e+02
4.824108704165368721e-04 5.878293758970869021e+03 2.717274109865796163e+03 1.616891123376868791e+03 1.090981538731376077e+03 7.940213712238413564e+02 6.079781780591378038e+02 4.828141028356632773e+02 3.941090280015245639e+02 3.286949708683879408e+02 2.789200077729174723e+02
5.052631065335679277e-04 6.135978790692527582e+03 2.838836212479104233e+03 1.689713145892422062e+03 1.140268957028288469e+03 8.299530129330281625e+02 6.355188602215521314e+02 5.046996109155113572e+02 4.119818799250347752e+02 3.436062621684545775e+02 2.915763966576127473e+02
5.291978735958440157e-04 6.404191144410432571e+03 2.965670672089107484e+03 1.765756864460490533e+03 1.191757013216112227e+03 8.674971280051653366e+02 6.642993704877417258e+02 5.275723000421548932e+02 4.306620162726426884e+02 3.591918170621799504e+02 3.048055269482122753e+02
5.542664520663104742e-04 6.683272791634217356e+03 3.097985764479886257e+03 1.845157471110147071e+03 1.245540500637552441e+03 9.067243188559253895e+02 6.943744403482438656e+02 5.514760698743190233e+02 4.501855557773730538e+02 3.754818301578455362e+02 3.186331067756584048e+02
5.805225516094897299e-04 6.973568476976241982e+03 3.235995924826551800e+03 1.928054886399537736e+03 1.301718050717287497e+03 9.477080215166486141e+02 7.258010993014928545e+02 5.764567080227299130e+02 4.705901788805965111e+02 3.925078133968750080e+02 3.330859845441568723e+02
6.080224261649421489e-04 7.275423290896841536e+03 3.379921136073081925e+03 2.014593966043994669e+03 1.360392203208473802e+03 9.905246530415454345e+02 7.586387441692055518e+02 6.025619444291925220e+02 4.919150180395152461e+02 4.103026480751167355e+02 3.481921674891427188e+02
6.368249944718586218e-04 7.589182790884011411e+03 3.529987379499493727e+03 2.104924548464207419e+03 1.421669101536595917e+03 1.035253680570731831e+03 7.929492528765439374e+02 6.298413727950205612e+02 5.142008519709870598e+02 4.289006047375579556e+02 3.639808551297156782e+02
6.669919663030119154e-04 7.915187550075774197e+03 3.686426173794162423e+03 2.199201541706023818e+03 1.485658779409400040e+03 1.081977711754202346e+03 8.287970286917877729e+02 6.583466420120619205e+02 5.374902869518825810e+02 4.483374290189861995e+02 3.804825191305023964e+02
6.985879746785244931e-04 8.253774504680273822e+03 3.849474740369969368e+03 2.297584843356632973e+03 1.552475458626652880e+03 1.130782450252727585e+03 8.662491190100200811e+02 6.881317056758819035e+02 5.618277892317599935e+02 4.686503873396958966e+02 3.977289544060541857e+02
7.316807143427194859e-04 8.605273873788280980e+03 4.019375310000724767e+03 2.400239160452106717e+03 1.622237672875425233e+03 1.181756974038805765e+03 9.053751846243226282e+02 7.192528528826744605e+02 5.872596689349128383e+02 4.898783469734190703e+02 4.157533382510595175e+02
7.663410868007456550e-04 8.970008701187351107e+03 4.196374950390120830e+03 2.507334417523711636e+03 1.695068012660693739e+03 1.234993837234952025e+03 9.462476665771540638e+02 7.517685174513070478e+02 6.138341697293594734e+02 5.120618584167236804e+02 4.345902797498295058e+02
