# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is om
# # model type = fixomch2
1.448118227674533498e-04 2.831359276614103295e-22 2.870883579214309588e-22 2.894259093083935234e-22 2.910959620517877908e-22 2.923979890148392975e-22 2.934661444400948707e-22 2.943723006817871536e-22 2.951595102510088406e-22 2.958556254971785134e-22 2.964797128331371154e-22
1.516716888470922740e-04 2.826122360368667285e-22 2.865573558342383602e-22 2.888905836579802721e-22 2.905575474516906195e-22 2.918571661699774294e-22 2.929233459220835202e-22 2.938278261262689272e-22 2.946135796631828951e-22 2.953084073662027643e-22 2.959313403827023999e-22
1.588565129428052810e-04 2.820895130386641937e-22 2.860273358949065988e-22 2.883562481523424458e-22 2.900201287097273689e-22 2.913173436375680930e-22 2.923815513707536621e-22 2.932843586374514435e-22 2.940686588351524897e-22 2.947622013764778137e-22 2.953839822085617722e-22
1.663816886076128847e-04 2.815677568752196069e-22 2.854982962868431146e-22 2.878229009600963802e-22 2.894837039839470566e-22 2.907785195674214543e-22 2.918407589291564168e-22 2.927418963526518085e-22 2.935247458992537848e-22 2.942170056559351033e-22 2.948376364346974834e-22
1.742633386009649968e-04 2.810469657582639448e-22 2.849702351968154749e-22 2.872905402532458097e-22 2.889482714358052362e-22 2.902406921127695432e-22 2.913009667437775582e-22 2.922004374126326903e-22 2.929818389912772012e-22 2.936728183359685642e-22 2.942923011885618438e-22
1.825183494319043405e-04 2.805271379028354607e-22 2.844431508149447913e-22 2.867591642071752843e-22 2.884138292301582130e-22 2.897038594302603763e-22 2.907621729645309778e-22 2.916599799615953599e-22 2.924399362504615900e-22 2.931296375514283159e-22 2.937479746010705933e-22
1.911644075385702070e-04 2.800082715272739953e-22 2.839170413347000303e-22 2.862287710006444337e-22 2.878803755352566030e-22 2.891680196799514679e-22 2.902243757447528543e-22 2.911205221471738610e-22 2.918990358194870858e-22 2.925874614406143186e-22 2.932046548065965067e-22
2.002200371815584276e-04 2.794903648532149587e-22 2.833919049528913364e-22 2.856993588157814780e-22 2.873479085227390321e-22 2.886331710253034357e-22 2.896875732411946948e-22 2.905820621204281923e-22 2.913591358444693697e-22 2.920462881452699789e-22 2.926623399429631400e-22
2.097046401323232167e-04 2.789734161055827466e-22 2.828677398696640609e-22 2.851709258380767863e-22 2.868164263676257882e-22 2.880993116331736997e-22 2.891517636140173162e-22 2.900445980358381943e-22 2.908202344749530868e-22 2.915061158105756136e-22 2.921210281514382946e-22
2.196385372416545924e-04 2.784574235125850990e-22 2.823445442884926491e-22 2.846434702563770932e-22 2.862859272483128028e-22 2.875664396738104639e-22 2.886169450267847324e-22 2.895081280512973434e-22 2.902823298639053578e-22 2.909669425851423373e-22 2.915807175767276227e-22
2.300430119772917776e-04 2.779423853057068927e-22 2.818223164161744336e-22 2.841169902628789161e-22 2.857564093465652095e-22 2.870345533208461807e-22 2.880831156464574310e-22 2.889726503281062158e-22 2.897454201677098541e-22 2.904287666210057618e-22 2.910414063669685617e-22
2.409403560239524868e-04 2.774282997197040764e-22 2.813010544628234751e-22 2.835914840531225365e-22 2.852278708475111369e-22 2.865036507512913440e-22 2.875502736433864481e-22 2.884381630309660928e-22 2.892095035461600740e-22 2.898915860736193193e-22 2.905030926737235635e-22
2.523539170434766117e-04 2.769151649925976518e-22 2.807807566418644492e-22 2.830669498259858407e-22 2.847003099396355967e-22 2.859737301455283298e-22 2.870184171913068804e-22 2.879046643279732715e-22 2.886745781624529951e-22 2.893553991018480557e-22 2.899657746519741227e-22
