# # First row is parameter values (first value is 99.0)
# # Second row is sigma_8 (first value is 99.0)
# # First column is k (Mpc/h), second column is P(k,z =0)
# # parmeter being varied is obh2
# # model type = fiducial
2.523539170434766117e-04 1.269661838977019670e+03 1.207431056051839050e+03 1.149994502386668046e+03 1.096853924657355492e+03 1.047575352533476917e+03 1.001779244469078321e+03 9.591329020989918490e+02 9.193430815575728730e+02 8.821507917045107661e+02 8.473264110061782048e+02
2.643081486974104954e-04 1.327119909903741245e+03 1.262084950283505577e+03 1.202058864600784773e+03 1.146521765947836684e+03 1.095019838990599055e+03 1.047156737668289679e+03 1.002584930790743101e+03 9.609981449640512210e+02 9.221256656970025460e+02 8.857276698971999167e+02
2.768286630392065599e-04 1.387156089711333834e+03 1.319192867116743400e+03 1.256462585144254035e+03 1.198422497151978405e+03 1.144598282502580787e+03 1.094576250293427620e+03 1.047993215094511015e+03 1.004529314952606228e+03 9.639017551206640064e+02 9.258599737776817165e+02
2.899422853882876647e-04 1.449883098540472702e+03 1.378862191362516569e+03 1.313308247885824358e+03 1.252654217646531151e+03 1.196404707869282447e+03 1.144127835533910229e+03 1.095444195263411075e+03 1.050019602192895718e+03 1.007558818516623546e+03 9.677999492442920655e+02
3.036771118035457777e-04 1.515418133974403418e+03 1.441204684237345873e+03 1.372702537517554219e+03 1.309319058198743051e+03 1.250536937058526746e+03 1.195905252045721454e+03 1.145027873682832023e+03 1.097555486451039087e+03 1.053179969114337382e+03 1.011627465889941277e+03
3.180625692794118915e-04 1.583882836211927497e+03 1.506336627183681458e+03 1.434756491699635944e+03 1.368523234512940689e+03 1.307096775892299547e+03 1.250006104029624566e+03 1.196837892981676987e+03 1.147226943392181511e+03 1.100851662833803857e+03 1.057425813903888411e+03
3.331294787934673180e-04 1.655403698824448156e+03 1.574378989083064653e+03 1.499585664920144836e+03 1.430377182841823014e+03 1.366190062619627270e+03 1.306531979029766262e+03 1.250971736830527334e+03 1.199127661767256541e+03 1.150663954431085131e+03 1.105281805683176572e+03
3.489101213406771624e-04 1.730112175540579074e+03 1.645457319290055921e+03 1.567310117256929516e+03 1.494995841638898810e+03 1.427926803172717200e+03 1.365588549434955212e+03 1.307530787740086453e+03 1.253355058590003182e+03 1.202710604478819732e+03 1.155285690680111884e+03
3.654383070957255785e-04 1.808144865641669412e+03 1.719701795771636625e+03 1.638054506753221403e+03 1.562498805680680334e+03 1.492421499974954713e+03 1.427285678835540466e+03 1.366620539247172019e+03 1.310010529377600051e+03 1.257089244780054287e+03 1.207531375087771039e+03
3.827494478516312048e-04 1.889643398714569912e+03 1.797247708021706103e+03 1.711948345580296291e+03 1.633010256428062121e+03 1.559793321809374447e+03 1.491737380659734299e+03 1.428350608029022851e+03 1.369199496205050309e+03 1.313901357170409256e+03 1.262116563591521299e+03
